Year,County,Soil_pH,Soil_Clay_Pct,Soil_Organic_Carbon,M5_ALLSKY_SFC_SW_DWN,M6_ALLSKY_SFC_SW_DWN,M7_ALLSKY_SFC_SW_DWN,M8_ALLSKY_SFC_SW_DWN,M9_ALLSKY_SFC_SW_DWN,M10_ALLSKY_SFC_SW_DWN,M5_PRECTOTCORR,M6_PRECTOTCORR,M7_PRECTOTCORR,M8_PRECTOTCORR,M9_PRECTOTCORR,M10_PRECTOTCORR,M5_QV2M,M6_QV2M,M7_QV2M,M8_QV2M,M9_QV2M,M10_QV2M,M5_RH2M,M6_RH2M,M7_RH2M,M8_RH2M,M9_RH2M,M10_RH2M,M5_T2M,M6_T2M,M7_T2M,M8_T2M,M9_T2M,M10_T2M,M5_T2MDEW,M6_T2MDEW,M7_T2MDEW,M8_T2MDEW,M9_T2MDEW,M10_T2MDEW,M5_T2M_MAX,M6_T2M_MAX,M7_T2M_MAX,M8_T2M_MAX,M9_T2M_MAX,M10_T2M_MAX,M5_T2M_MIN,M6_T2M_MIN,M7_T2M_MIN,M8_T2M_MIN,M9_T2M_MIN,M10_T2M_MIN,M5_WS2M,M6_WS2M,M7_WS2M,M8_WS2M,M9_WS2M,M10_WS2M
2010,COLORADO,,,,22.76,22.84,21.28,23.26,17.5,18.48,3.16,3.56,7.81,1.53,5.79,0.02,14.5,17.66,18.94,17.51,16.7,9.96,72.07,75.13,82.24,70.3,78.69,61.43,26.05,28.61,27.87,29.68,26.27,22.04,19.56,23.05,24.27,22.83,21.85,12.81,36.56,38.17,34.32,38.09,33.97,34.12,13.72,20.69,22.54,20.87,12.28,9.23,2.85,2.47,2.08,1.9,2.1,2.27
2011,COLORADO,,,,23.19,25.79,24.52,24.41,21.51,17.47,1.08,1.72,0.81,0.5,1.19,2.01,12.57,14.77,15.62,15.35,12.14,10.08,61.55,58.44,59.16,54.47,53.64,63.04,26.07,30.57,31.11,32.66,28.71,21.94,16.6,19.95,20.95,20.58,16.17,13.19,37.54,40.36,39.65,43.2,40.52,34.02,9.98,22.27,23.29,23.5,16.52,5.8,3.85,3.09,2.56,2.58,2.56,2.5
2012,COLORADO,,,,22.79,23.21,22.09,23.4,19.3,15.61,3.16,2.72,5.83,1.99,3.72,0.89,14.38,15.78,17.8,16.95,14.58,11.32,73.58,67.76,79.74,70.41,70.05,69.33,25.46,28.8,27.51,29.18,26.72,21.69,19.7,21.14,23.25,22.38,19.68,15.0,36.68,40.73,36.0,38.61,38.7,33.16,15.61,21.27,22.75,22.42,16.36,5.51,2.52,2.32,1.91,2.27,2.21,2.52
2013,COLORADO,,,,21.43,24.45,22.98,22.16,18.29,15.38,1.56,1.53,2.48,1.98,3.75,6.26,12.97,15.02,15.23,16.16,16.13,12.73,69.62,62.19,62.92,66.06,72.94,77.17,24.13,29.73,29.56,29.77,27.49,21.88,17.33,20.27,20.44,21.57,21.47,17.09,36.09,43.16,39.48,40.81,36.96,33.86,6.62,18.46,21.58,20.74,16.61,6.95,3.32,2.45,2.52,2.31,2.33,2.32
2014,COLORADO,,,,21.57,23.31,23.49,22.0,17.49,17.48,7.48,2.45,2.49,1.45,4.43,1.78,12.56,17.01,16.78,16.72,16.74,12.45,70.91,75.7,71.4,68.05,79.31,72.79,23.57,27.71,28.83,29.62,26.45,22.82,16.92,22.47,22.25,22.08,22.13,16.9,34.42,35.99,38.45,39.21,36.57,33.15,11.08,21.09,22.16,21.56,17.24,11.0,3.18,2.95,1.89,2.32,2.06,2.29
2015,COLORADO,,,,17.55,22.28,25.12,22.55,18.9,16.08,7.96,6.56,0.73,2.37,3.46,7.23,16.48,17.97,18.18,16.45,15.92,12.08,86.9,84.49,77.72,67.47,75.41,70.11,24.37,26.42,28.52,29.74,26.65,23.31,21.88,23.37,23.58,21.72,21.23,16.26,30.38,32.18,38.49,41.25,36.13,36.14,12.29,18.17,21.54,20.41,15.25,12.44,2.73,1.96,2.27,2.02,1.86,2.66
2016,COLORADO,,,,18.79,22.92,24.59,20.2,19.49,17.21,7.05,4.21,1.87,6.33,2.48,0.4,15.31,18.21,18.02,18.4,17.36,13.09,82.99,83.55,74.0,79.54,79.97,72.05,23.84,26.85,29.21,28.24,26.79,23.99,20.5,23.61,23.43,23.77,22.69,17.82,32.54,33.48,38.52,39.33,35.12,34.67,11.89,20.4,23.77,22.75,14.62,9.75,2.55,1.87,2.53,1.93,1.76,2.12
2017,COLORADO,,,,22.15,22.72,25.11,19.61,20.0,16.82,2.46,4.19,1.6,16.97,1.71,1.9,13.11,16.7,17.06,17.69,15.7,11.94,68.63,74.05,70.04,74.25,79.47,71.32,24.89,27.85,29.44,28.89,25.14,21.55,17.67,22.11,22.5,23.04,20.98,15.39,35.11,38.76,39.8,38.31,32.72,33.66,11.14,20.41,23.08,19.76,14.4,3.41,3.08,2.61,2.07,3.06,1.91,2.31
2018,COLORADO,,,,23.61,23.7,24.55,22.2,14.18,13.08,1.33,4.04,2.26,1.36,7.11,5.86,13.97,16.85,16.52,16.44,17.69,14.0,66.79,69.94,69.74,66.25,83.88,85.41,27.14,29.36,29.2,29.95,26.36,21.55,19.07,22.2,21.93,21.82,23.1,18.84,38.36,40.01,40.26,39.86,36.72,31.66,15.58,22.43,22.11,21.87,18.44,10.73,2.62,2.92,1.97,2.34,1.93,2.62
2019,COLORADO,,,,19.74,23.17,25.03,22.17,19.68,15.57,5.36,6.79,0.94,1.19,3.33,3.69,15.84,17.62,16.88,17.08,16.48,11.96,80.5,77.7,70.11,63.34,69.38,69.9,25.17,27.66,29.13,31.41,29.14,22.17,21.2,22.99,22.16,22.42,21.81,15.51,34.1,35.19,39.05,41.47,40.01,35.62,14.51,19.97,18.81,24.22,22.27,2.84,3.15,2.23,2.4,2.27,2.54,2.86
2020,COLORADO,,,,23.11,22.53,22.97,23.36,16.42,16.04,4.52,3.28,2.63,1.13,6.01,0.58,14.09,15.64,17.64,16.43,15.48,12.1,73.67,69.62,72.54,64.69,74.68,72.9,24.9,27.99,29.31,30.36,26.02,22.05,19.13,20.8,23.01,21.72,20.55,16.25,34.97,37.72,39.82,39.97,35.81,34.63,13.04,18.12,22.77,22.79,11.25,6.17,2.72,2.58,2.57,2.26,2.88,2.45
2021,COLORADO,,,,18.5,22.72,20.81,21.61,19.57,16.49,9.73,5.23,6.39,2.62,3.39,4.04,15.43,18.31,18.67,18.73,15.05,13.29,84.01,83.63,84.44,80.37,70.73,74.2,23.91,26.89,27.13,28.17,26.72,22.95,20.77,23.67,24.06,24.08,19.94,17.47,32.41,33.16,33.25,36.14,36.47,32.67,14.55,19.97,21.92,22.78,13.71,6.63,2.92,1.99,1.71,1.75,2.09,2.24
2022,COLORADO,,,,24.83,25.91,25.64,20.07,20.84,16.67,1.49,1.16,0.78,5.06,1.38,1.58,14.8,15.33,16.34,17.72,14.95,9.93,67.27,60.0,60.59,70.92,70.19,61.88,27.97,30.89,31.66,29.87,26.93,22.25,20.0,20.56,21.7,23.06,19.9,13.07,39.03,41.64,42.77,39.68,37.22,37.04,16.81,22.18,24.58,23.71,13.86,6.84,3.33,2.57,2.81,2.26,1.61,2.36
2023,COLORADO,,,,19.67,26.0,25.36,25.42,20.56,14.79,5.53,1.22,0.83,0.19,2.01,3.32,15.43,17.3,16.41,15.07,15.68,12.34,82.01,71.73,60.03,52.03,62.1,71.74,24.4,29.27,32.2,33.37,30.56,22.38,20.86,22.61,21.65,19.96,20.85,16.15,32.42,40.07,42.57,44.04,43.23,35.88,14.77,19.66,23.18,23.82,22.23,6.39,1.84,2.31,2.53,2.77,1.97,2.64
2024,COLORADO,,,,17.24,24.41,19.93,22.74,19.13,18.01,4.28,3.48,8.75,1.26,2.08,0.37,17.28,17.92,18.42,18.26,15.5,11.35,78.45,73.16,78.4,73.82,68.48,59.59,27.24,29.31,28.57,29.57,28.02,25.78,22.61,23.25,23.77,23.62,20.54,15.31,38.86,38.8,39.73,40.3,38.47,38.46,18.59,22.42,23.28,22.88,17.12,11.28,2.79,2.45,1.91,1.67,2.25,2.39
2000,COCHRAN,,,,28.72,23.75,26.76,25.66,22.47,12.87,0.3,4.38,0.96,0.29,0.02,2.38,5.44,11.25,9.79,8.83,6.05,7.28,29.14,57.06,38.52,35.52,28.59,60.43,24.3,24.12,28.41,27.93,24.99,15.93,1.71,13.54,11.48,10.01,3.95,6.33,41.59,39.17,40.92,38.07,39.09,37.08,7.71,13.86,17.84,18.53,4.68,0.25,4.22,3.67,3.36,3.41,3.12,3.21
2001,COCHRAN,,,,26.42,29.94,28.37,23.33,21.24,17.6,1.92,0.45,0.55,1.68,1.3,0.37,7.04,8.01,9.64,10.92,8.91,5.13,42.16,34.2,34.88,48.29,48.53,40.8,21.81,27.38,29.84,26.6,22.62,16.81,5.88,7.82,11.3,13.18,9.58,1.77,36.24,40.36,39.98,37.54,36.72,31.49,5.84,11.98,18.09,16.53,9.49,2.42,3.45,3.78,3.57,2.64,2.7,3.21
2002,COCHRAN,,,,26.92,27.41,26.42,24.76,21.28,12.75,0.12,1.31,1.34,2.32,1.27,2.22,5.85,10.05,11.55,11.03,8.51,7.04,34.9,42.92,50.31,45.17,46.33,61.5,22.18,27.27,26.76,27.59,22.54,14.73,2.44,11.74,14.08,13.29,8.93,6.1,37.0,39.39,39.21,40.15,34.01,31.15,7.53,14.67,17.64,17.82,10.32,1.32,4.16,4.16,3.06,3.35,3.11,2.92
2003,COCHRAN,,,,26.38,26.62,28.56,24.22,20.81,16.17,1.1,3.16,0.35,0.6,0.58,0.6,5.88,10.13,10.11,10.13,8.73,6.64,34.21,50.43,41.87,42.05,49.21,47.11,22.44,24.43,28.04,27.73,22.32,18.11,2.24,11.54,11.92,12.06,9.65,4.61,39.8,37.57,40.45,41.18,35.87,32.01,8.11,10.9,17.91,14.99,8.26,2.27,3.91,3.44,3.52,3.12,3.36,2.92
2004,COCHRAN,,,,28.59,26.56,25.53,24.59,19.44,15.1,0.43,2.16,2.02,2.33,6.18,2.39,6.08,9.28,10.7,11.53,9.79,7.86,35.58,45.61,49.38,56.83,58.65,64.48,22.65,25.28,26.16,24.5,21.35,15.34,3.25,9.56,12.66,13.96,11.13,7.69,36.72,40.83,39.47,37.64,35.92,26.53,4.49,13.9,13.92,15.11,9.03,2.14,4.05,3.42,2.96,2.72,3.21,3.02
2005,COCHRAN,,,,22.96,29.34,27.56,24.19,21.56,15.13,2.37,0.5,1.7,3.39,0.42,1.31,7.92,8.86,11.14,12.51,9.57,7.27,52.57,40.46,46.98,59.93,48.04,60.08,20.16,26.27,27.26,24.68,24.01,15.49,7.67,9.44,13.52,15.35,11.08,6.66,38.36,39.8,40.39,34.88,35.7,32.03,3.93,11.99,14.97,15.08,10.62,1.76,3.51,3.82,3.32,2.48,3.12,2.75
2006,COCHRAN,,,,26.55,28.37,26.18,22.79,20.03,16.23,0.61,0.92,1.63,2.92,3.58,1.42,6.37,8.25,10.78,12.9,8.88,6.74,35.83,37.01,43.9,60.71,57.86,55.78,23.61,26.86,27.84,24.87,19.43,15.28,4.35,8.71,13.0,15.84,9.4,5.09,38.45,40.03,39.27,37.6,32.76,32.5,8.05,13.95,17.5,14.4,8.3,0.85,3.31,3.54,2.95,2.46,2.73,3.29
2007,COCHRAN,,,,22.99,27.38,25.72,24.11,20.76,19.02,3.85,2.46,1.14,1.4,3.03,0.04,8.45,11.01,12.27,12.7,11.87,6.45,61.2,57.22,57.91,56.74,64.66,45.91,18.23,23.49,25.05,26.13,22.54,17.34,9.05,13.04,15.11,15.59,14.46,4.03,31.58,38.2,35.58,40.2,34.69,32.64,8.62,9.58,16.94,18.06,12.17,2.09,3.24,3.1,2.56,3.21,2.94,3.32
2008,COCHRAN,,,,27.0,29.19,25.26,23.46,20.67,16.42,1.95,2.11,2.05,3.04,1.9,1.98,6.0,8.62,11.89,11.84,9.48,6.62,37.89,38.12,54.4,57.42,59.2,54.7,20.84,27.17,25.5,24.72,20.28,15.55,2.8,8.64,14.54,14.51,10.91,4.96,37.62,41.01,37.46,36.92,33.21,30.94,2.73,13.31,15.07,13.77,9.55,-0.75,4.07,3.91,3.23,2.62,2.63,3.0
2009,COCHRAN,,,,24.88,26.38,26.46,25.99,20.21,15.43,0.78,2.89,3.85,0.77,1.03,1.51,6.98,9.44,11.58,10.58,9.13,6.08,43.75,43.71,51.36,44.07,55.03,52.87,21.37,25.68,26.58,27.16,20.79,14.41,5.97,10.08,14.08,12.73,10.06,3.5,37.03,37.82,39.72,38.11,34.64,30.58,8.24,13.55,15.61,15.79,6.59,-3.14,3.29,3.23,2.76,3.26,2.66,3.47
2010,COCHRAN,,,,25.92,27.13,24.23,25.12,20.76,17.45,0.93,1.64,3.55,1.37,1.26,0.78,6.92,10.85,13.89,11.49,10.42,5.98,42.03,45.02,64.57,46.96,53.2,46.29,21.02,27.81,25.13,27.27,23.79,16.84,4.69,12.79,16.98,13.76,12.07,3.91,35.71,41.42,35.53,38.22,37.38,30.52,6.07,16.73,17.5,11.78,10.51,1.52,4.21,3.86,3.17,3.12,3.05,3.01
2011,COCHRAN,,,,29.86,29.96,27.38,25.32,20.04,18.04,0.09,0.11,0.81,0.38,1.38,0.74,3.42,6.15,9.77,9.55,7.0,5.08,21.6,24.38,34.62,33.61,39.31,42.07,21.47,29.45,30.02,30.36,22.68,16.63,-4.07,3.7,11.45,11.06,6.24,1.61,38.57,43.09,39.32,40.88,37.38,31.79,2.92,16.03,19.96,20.32,11.13,0.02,4.48,4.22,3.43,3.0,2.63,3.26
2012,COCHRAN,,,,26.61,27.8,26.21,24.47,19.2,17.51,1.3,0.94,1.07,1.5,1.53,0.35,5.63,9.04,10.53,9.67,7.92,5.38,36.13,38.45,42.92,40.55,44.66,44.57,22.17,27.88,27.81,27.52,22.85,15.87,1.92,9.63,12.67,11.05,7.95,1.99,37.88,41.23,37.72,41.11,39.18,32.63,7.47,15.84,17.27,14.8,9.28,-1.41,3.7,3.88,3.2,2.63,2.76,3.14
2013,COCHRAN,,,,27.26,28.08,25.39,25.54,20.29,16.89,0.43,2.73,2.95,0.88,0.97,0.36,5.23,10.12,10.96,10.66,9.36,4.98,32.51,45.04,49.81,44.32,48.52,43.13,21.17,26.91,25.77,27.44,23.26,15.7,0.81,11.51,13.14,12.9,10.32,1.01,37.61,41.69,37.29,39.4,35.74,33.46,-0.25,14.27,14.64,17.76,8.02,-0.15,3.82,3.86,3.28,2.89,3.12,3.24
2014,COCHRAN,,,,27.26,27.81,25.46,23.79,16.01,17.25,2.74,1.72,1.86,1.18,4.92,0.26,5.55,10.27,11.37,10.55,11.89,6.58,34.25,46.98,49.71,45.36,71.63,50.47,20.77,26.43,26.53,26.75,20.77,17.09,0.61,11.77,13.85,12.69,14.4,5.32,36.42,41.53,38.7,38.44,38.65,31.67,4.11,10.11,16.98,16.25,7.47,5.95,3.66,3.98,3.38,2.69,3.08,2.77
2015,COCHRAN,,,,23.75,26.98,26.65,24.32,20.93,14.52,4.44,1.77,3.01,1.3,1.08,4.1,7.8,11.39,12.26,11.37,10.61,8.07,53.19,53.1,50.44,47.15,51.45,61.7,19.11,25.54,27.5,27.28,24.74,16.67,7.43,13.83,15.04,13.86,12.76,8.26,31.51,37.36,39.39,39.67,36.5,33.14,6.55,14.81,15.69,13.66,13.99,4.82,3.83,3.18,2.8,2.77,3.06,3.16
2016,COCHRAN,,,,25.3,28.04,27.76,22.53,19.91,17.1,2.02,1.76,0.4,4.46,2.21,0.59,6.63,10.42,10.13,11.87,11.55,7.11,45.47,48.32,36.43,56.6,63.33,49.66,19.78,26.04,30.31,25.13,22.02,18.83,4.62,12.25,11.96,14.36,13.63,6.4,33.65,39.02,42.07,37.41,33.86,33.26,3.76,12.88,20.55,15.28,10.19,6.22,3.96,3.32,3.48,2.84,3.04,2.98
2017,COCHRAN,,,,28.53,27.8,27.51,23.96,18.81,16.89,0.47,2.11,2.93,3.2,2.48,0.97,5.77,9.65,11.64,12.58,9.26,7.09,37.39,45.22,48.13,61.2,51.7,52.79,20.66,26.41,27.37,24.23,22.72,15.92,3.0,10.62,14.26,15.38,10.46,5.02,36.35,42.35,36.99,34.8,37.39,31.8,5.91,13.7,18.84,13.99,11.42,0.64,4.2,3.09,3.06,2.32,3.15,3.46
2018,COCHRAN,,,,27.32,27.92,25.15,24.52,19.31,13.63,0.48,1.21,1.9,2.29,2.82,3.68,6.16,9.81,10.85,11.48,11.11,8.06,32.13,39.36,44.12,49.32,63.12,66.77,24.91,28.48,27.74,26.74,21.69,14.88,3.26,11.1,13.13,14.02,13.14,7.91,39.18,40.85,40.36,37.49,33.68,33.07,9.11,16.85,18.38,16.17,9.3,-1.74,3.78,4.04,2.91,2.94,2.96,3.12
2019,COCHRAN,,,,25.26,29.06,28.17,24.92,20.1,16.94,1.65,1.33,1.72,0.78,2.7,1.23,7.24,9.2,10.5,11.24,11.58,5.75,48.09,44.92,42.72,41.93,54.27,48.49,19.83,25.26,27.94,29.52,25.16,14.0,5.93,9.93,12.45,13.53,14.03,1.78,34.3,39.12,41.04,41.94,35.26,29.44,3.55,12.94,17.03,19.69,17.15,-6.8,3.95,3.69,3.13,3.09,3.22,3.32
2020,COCHRAN,,,,27.7,29.73,27.01,24.89,20.15,17.44,0.26,0.63,0.94,0.83,0.27,0.15,5.81,8.17,10.18,9.45,7.73,4.25,33.34,35.56,37.06,36.07,45.18,37.94,23.1,27.19,30.14,29.07,22.02,16.34,3.01,8.01,11.9,11.01,7.3,-1.06,38.77,39.53,43.08,41.05,37.73,34.56,7.13,10.3,18.5,18.61,6.72,-5.27,3.78,4.35,3.2,2.97,2.8,3.53
2021,COCHRAN,,,,24.39,27.87,26.14,23.94,21.71,18.59,3.43,2.73,2.05,1.67,0.96,0.75,8.71,10.35,12.53,11.95,9.26,5.72,54.85,48.29,55.4,52.59,44.55,41.55,20.49,26.38,26.14,26.33,24.46,17.85,9.13,12.12,15.41,14.58,10.2,2.96,34.32,41.47,36.43,39.31,36.55,34.23,7.18,13.23,17.1,14.97,10.6,4.17,4.3,3.27,2.6,3.02,3.17,3.21
2022,COCHRAN,,,,27.78,27.66,26.89,20.83,21.98,14.77,1.55,0.87,0.65,2.95,0.44,2.09,5.17,9.2,9.54,11.52,9.62,6.91,29.15,38.95,32.89,50.24,47.61,56.61,23.72,27.87,30.66,26.86,24.39,15.98,0.28,10.3,11.13,14.0,10.99,5.99,39.01,42.16,42.14,41.05,35.61,30.79,6.84,14.62,20.8,16.73,14.19,2.09,4.05,3.96,3.18,2.71,2.9,2.76
2023,COCHRAN,,,,25.07,27.39,27.69,25.57,20.74,17.02,2.93,1.56,0.79,0.92,1.84,1.99,8.27,7.93,9.91,9.61,9.12,6.91,49.34,37.92,36.0,35.3,43.71,50.13,21.53,26.74,30.15,29.69,25.54,17.23,7.74,7.5,11.54,11.17,10.28,5.1,34.9,42.45,42.72,41.86,40.53,31.23,8.24,13.06,18.78,17.16,15.01,-2.27,3.57,3.14,3.42,2.87,2.67,3.02
2024,COCHRAN,,,,26.46,27.45,26.09,25.05,20.37,17.34,1.46,1.91,1.88,0.77,1.31,0.19,6.28,11.09,11.16,9.78,9.66,5.89,36.15,44.23,45.32,36.46,50.96,38.63,23.11,28.43,27.92,29.7,23.53,20.29,3.12,13.06,13.56,11.54,10.96,3.54,37.35,40.05,40.61,41.69,37.18,34.93,10.33,14.92,16.7,16.83,10.89,3.77,3.86,3.95,3.02,3.0,2.91,3.36
2000,MILAM,,,,21.0,21.42,25.29,23.87,19.92,12.71,3.81,3.84,0.27,0.24,2.21,3.31,14.45,15.51,12.46,12.74,11.28,11.35,73.45,71.25,45.17,45.8,52.89,71.85,25.21,27.19,32.1,32.26,27.17,20.92,19.44,20.74,17.15,17.48,14.7,14.8,36.82,37.43,42.81,43.39,45.08,34.84,12.58,15.15,22.58,23.87,8.79,6.78,3.3,3.0,2.78,2.66,2.51,2.84
2001,MILAM,,,,22.76,23.96,25.05,20.85,19.27,16.35,3.37,3.7,0.78,4.66,2.8,2.54,14.04,15.28,15.43,14.69,14.6,9.87,77.69,72.34,59.99,57.89,77.19,73.21,23.56,26.6,30.51,30.5,23.99,18.36,19.03,20.51,20.72,19.81,19.28,12.82,33.37,36.47,40.45,41.8,32.92,30.36,10.71,17.95,20.35,21.79,10.05,6.28,2.79,2.79,2.65,2.67,2.1,2.71
2002,MILAM,,,,22.15,23.32,22.55,21.56,18.09,11.23,1.96,3.22,4.05,0.93,2.13,6.21,11.97,14.22,17.11,15.7,13.11,11.42,61.49,62.31,75.31,63.37,62.11,77.41,25.24,28.28,27.84,29.68,26.68,20.15,16.07,19.25,22.46,20.92,17.69,15.36,37.57,37.78,37.39,39.86,38.24,36.64,10.38,18.1,21.95,21.19,13.66,6.57,3.57,2.35,2.37,2.42,2.6,2.42
2003,MILAM,,,,19.83,22.47,22.34,21.63,17.85,15.71,1.27,3.92,1.92,1.8,3.19,3.62,14.06,15.62,16.11,15.05,13.0,10.99,70.07,69.6,66.62,58.77,69.12,71.23,25.67,27.61,29.27,30.44,24.6,20.85,18.98,20.82,21.43,20.26,17.6,14.65,38.95,37.13,39.42,43.04,34.51,31.94,15.26,16.89,22.86,19.86,12.87,7.64,2.92,2.24,2.41,2.27,2.09,2.23
2004,MILAM,,,,20.51,18.97,24.68,22.63,18.67,13.66,3.24,9.26,1.67,3.36,1.06,5.36,14.11,17.33,16.89,15.22,12.98,14.08,78.26,83.85,75.67,67.74,63.13,79.51,23.43,25.84,27.33,27.6,26.19,23.09,19.0,22.66,22.19,20.23,17.67,18.9,36.04,36.34,35.02,38.61,36.51,34.19,7.9,19.82,19.49,18.05,15.25,10.21,3.27,2.32,2.2,2.16,2.02,2.69
