Year,County,Soil_pH,Soil_Clay_Pct,Soil_Organic_Carbon,M3_ALLSKY_SFC_SW_DWN,M4_ALLSKY_SFC_SW_DWN,M5_ALLSKY_SFC_SW_DWN,M6_ALLSKY_SFC_SW_DWN,M7_ALLSKY_SFC_SW_DWN,M8_ALLSKY_SFC_SW_DWN,M3_PRECTOTCORR,M4_PRECTOTCORR,M5_PRECTOTCORR,M6_PRECTOTCORR,M7_PRECTOTCORR,M8_PRECTOTCORR,M3_QV2M,M4_QV2M,M5_QV2M,M6_QV2M,M7_QV2M,M8_QV2M,M3_RH2M,M4_RH2M,M5_RH2M,M6_RH2M,M7_RH2M,M8_RH2M,M3_T2M,M4_T2M,M5_T2M,M6_T2M,M7_T2M,M8_T2M,M3_T2MDEW,M4_T2MDEW,M5_T2MDEW,M6_T2MDEW,M7_T2MDEW,M8_T2MDEW,M3_T2M_MAX,M4_T2M_MAX,M5_T2M_MAX,M6_T2M_MAX,M7_T2M_MAX,M8_T2M_MAX,M3_T2M_MIN,M4_T2M_MIN,M5_T2M_MIN,M6_T2M_MIN,M7_T2M_MIN,M8_T2M_MIN,M3_WS2M,M4_WS2M,M5_WS2M,M6_WS2M,M7_WS2M,M8_WS2M
2010,COLORADO,,,,18.59,18.23,22.76,22.84,21.28,23.26,1.85,0.93,3.16,3.56,7.81,1.53,7.83,11.18,14.5,17.66,18.94,17.51,78.83,76.0,72.07,75.13,82.24,70.3,13.78,20.39,26.05,28.61,27.87,29.68,9.84,15.35,19.56,23.05,24.27,22.83,25.52,31.75,36.56,38.17,34.32,38.09,-0.43,6.54,13.72,20.69,22.54,20.87,2.77,3.19,2.85,2.47,2.08,1.9
2011,COLORADO,,,,17.83,21.29,23.19,25.79,24.52,24.41,0.62,0.04,1.08,1.72,0.81,0.5,9.59,11.25,12.57,14.77,15.62,15.35,72.15,62.05,61.55,58.44,59.16,54.47,18.65,24.15,26.07,30.57,31.11,32.66,12.66,14.1,16.6,19.95,20.95,20.58,32.36,35.03,37.54,40.36,39.65,43.2,2.6,6.92,9.98,22.27,23.29,23.5,3.08,4.11,3.85,3.09,2.56,2.58
2012,COLORADO,,,,15.03,21.65,22.79,23.21,22.09,23.4,3.87,1.74,3.16,2.72,5.83,1.99,11.73,12.53,14.38,15.78,17.8,16.95,83.58,77.47,73.58,67.76,79.74,70.41,19.15,21.86,25.46,28.8,27.51,29.18,16.08,17.28,19.7,21.14,23.25,22.38,28.24,30.96,36.68,40.73,36.0,38.61,6.58,10.31,15.61,21.27,22.75,22.42,2.9,3.0,2.52,2.32,1.91,2.27
2013,COLORADO,,,,19.21,17.42,21.43,24.45,22.98,22.16,0.55,3.98,1.56,1.53,2.48,1.98,7.81,10.56,12.97,15.02,15.23,16.16,66.62,72.62,69.62,62.19,62.92,66.06,16.26,19.85,24.13,29.73,29.56,29.77,8.82,13.95,17.33,20.27,20.44,21.57,33.46,31.52,36.09,43.16,39.48,40.81,1.29,5.12,6.62,18.46,21.58,20.74,3.13,3.25,3.32,2.45,2.52,2.31
2014,COLORADO,,,,15.11,19.22,21.57,23.31,23.49,22.0,2.42,0.7,7.48,2.45,2.49,1.45,8.5,10.53,12.56,17.01,16.78,16.72,79.95,70.69,70.91,75.7,71.4,68.05,14.24,20.48,23.57,27.71,28.83,29.62,10.53,13.9,16.92,22.47,22.25,22.08,28.17,34.88,34.42,35.99,38.45,39.21,-4.65,4.58,11.08,21.09,22.16,21.56,3.03,3.26,3.18,2.95,1.89,2.32
2015,COLORADO,,,,14.29,15.36,17.55,22.28,25.12,22.55,5.88,5.26,7.96,6.56,0.73,2.37,9.89,13.89,16.48,17.97,18.18,16.45,84.26,85.64,86.9,84.49,77.72,67.47,16.05,21.59,24.37,26.42,28.52,29.74,13.2,18.91,21.88,23.37,23.58,21.72,26.67,30.16,30.38,32.18,38.49,41.25,-2.26,10.0,12.29,18.17,21.54,20.41,2.47,2.43,2.73,1.96,2.27,2.02
2016,COLORADO,,,,16.53,18.04,18.79,22.92,24.59,20.2,3.41,6.6,7.05,4.21,1.87,6.33,10.8,12.33,15.31,18.21,18.02,18.4,78.78,77.28,82.99,83.55,74.0,79.54,18.65,21.42,23.84,26.85,29.21,28.24,14.48,16.59,20.5,23.61,23.43,23.77,30.63,30.82,32.54,33.48,38.52,39.33,2.4,8.47,11.89,20.4,23.77,22.75,3.09,2.56,2.55,1.87,2.53,1.93
2017,COLORADO,,,,16.87,20.45,22.15,22.72,25.11,19.61,3.22,3.14,2.46,4.19,1.6,16.97,11.23,12.18,13.11,16.7,17.06,17.69,80.54,74.95,68.63,74.05,70.04,74.25,19.08,21.76,24.89,27.85,29.44,28.89,15.32,16.48,17.67,22.11,22.5,23.04,29.76,33.23,35.11,38.76,39.8,38.31,4.21,8.43,11.14,20.41,23.08,19.76,3.11,3.08,3.08,2.61,2.07,3.06
2018,COLORADO,,,,17.15,20.07,23.61,23.7,24.55,22.2,2.49,1.81,1.33,4.04,2.26,1.36,10.12,9.69,13.97,16.85,16.52,16.44,73.76,68.96,66.79,69.94,69.74,66.25,18.82,19.65,27.14,29.36,29.2,29.95,13.31,12.85,19.07,22.2,21.93,21.82,29.85,31.43,38.36,40.01,40.26,39.86,5.86,6.27,15.58,22.43,22.11,21.87,3.09,3.1,2.62,2.92,1.97,2.34
2019,COLORADO,,,,14.4,20.04,19.74,23.17,25.03,22.17,0.35,2.32,5.36,6.79,0.94,1.19,9.23,11.44,15.84,17.62,16.88,17.08,78.22,75.87,80.5,77.7,70.11,63.34,15.8,20.57,25.17,27.66,29.13,31.41,11.69,15.52,21.2,22.99,22.16,22.42,27.43,30.8,34.1,35.19,39.05,41.47,-3.63,3.82,14.51,19.97,18.81,24.22,2.92,3.2,3.15,2.23,2.4,2.27
2020,COLORADO,,,,13.52,18.51,23.11,22.53,22.97,23.36,1.52,3.24,4.52,3.28,2.63,1.13,12.04,11.57,14.09,15.64,17.64,16.43,78.44,73.67,73.67,69.62,72.54,64.69,20.94,21.37,24.9,27.99,29.31,30.36,16.5,15.57,19.13,20.8,23.01,21.72,32.58,34.84,34.97,37.72,39.82,39.97,7.39,8.05,13.04,18.12,22.77,22.79,3.09,2.85,2.72,2.58,2.57,2.26
2021,COLORADO,,,,16.49,16.47,18.5,22.72,20.81,21.61,1.39,3.78,9.73,5.23,6.39,2.62,9.33,10.94,15.43,18.31,18.67,18.73,74.3,69.59,84.01,83.63,84.44,80.37,17.5,21.17,23.91,26.89,27.13,28.17,12.14,14.29,20.77,23.67,24.06,24.08,30.04,32.99,32.41,33.16,33.25,36.14,4.05,6.69,14.55,19.97,21.92,22.78,3.14,3.23,2.92,1.99,1.71,1.75
2022,COLORADO,,,,19.25,18.7,24.83,25.91,25.64,20.07,2.05,1.16,1.49,1.16,0.78,5.06,8.12,11.78,14.8,15.33,16.34,17.72,69.38,67.89,67.27,60.0,60.59,70.92,16.34,23.19,27.97,30.89,31.66,29.87,9.63,15.73,20.0,20.56,21.7,23.06,29.72,34.15,39.03,41.64,42.77,39.68,-1.81,7.77,16.81,22.18,24.58,23.71,3.2,3.52,3.33,2.57,2.81,2.26
2023,COLORADO,,,,14.66,17.39,19.67,26.0,25.36,25.42,1.03,5.67,5.53,1.22,0.83,0.19,10.71,11.49,15.43,17.3,16.41,15.07,74.08,77.72,82.01,71.73,60.03,52.03,19.23,20.32,24.4,29.27,32.2,33.37,13.94,15.75,20.86,22.61,21.65,19.96,30.71,33.14,32.42,40.07,42.57,44.04,3.58,9.86,14.77,19.66,23.18,23.82,3.26,2.91,1.84,2.31,2.53,2.77
2024,COLORADO,,,,15.06,17.57,17.24,24.41,19.93,22.74,2.47,2.02,4.28,3.48,8.75,1.26,10.9,13.04,17.28,17.92,18.42,18.26,81.35,76.73,78.45,73.16,78.4,73.82,18.33,22.48,27.24,29.31,28.57,29.57,14.81,17.61,22.61,23.25,23.77,23.62,28.74,32.15,38.86,38.8,39.73,40.3,6.9,8.87,18.59,22.42,23.28,22.88,2.5,3.15,2.79,2.45,1.91,1.67
2025,COLORADO,,,,19.13,18.6,21.48,22.0,21.33,21.02,1.79,1.26,4.79,5.17,2.56,2.45,9.9,12.78,14.96,18.41,17.73,16.71,70.23,71.48,72.28,78.45,74.54,66.29,19.6,23.58,26.31,28.44,28.92,30.35,12.66,17.12,20.01,23.79,23.1,22.04,33.16,33.45,38.09,37.52,38.2,39.73,4.75,5.55,14.39,22.34,21.94,22.98,3.14,3.51,2.98,2.37,2.14,1.75
2000,LIBERTY,,,,17.26,19.6,21.14,21.33,24.44,23.09,1.43,4.14,6.29,2.66,1.49,1.04,10.57,11.0,15.95,16.36,15.27,15.76,76.16,74.82,81.3,73.83,61.23,64.47,19.31,20.41,25.21,27.67,30.37,30.0,14.29,15.0,21.38,21.84,20.61,21.16,30.93,32.05,34.18,36.57,41.95,43.74,3.24,5.36,14.91,16.72,21.48,21.91,1.92,1.79,1.91,1.8,1.61,1.35
2001,LIBERTY,,,,15.27,18.53,22.51,22.82,22.92,19.16,6.35,1.32,3.14,12.44,2.29,6.33,7.93,13.17,14.33,17.13,18.16,17.44,82.67,82.33,76.29,81.95,78.48,75.03,13.47,21.49,24.68,26.29,28.18,28.57,10.27,18.05,19.59,22.6,23.62,22.93,25.31,29.51,33.73,34.7,37.35,37.77,4.62,9.5,13.84,19.01,22.1,22.41,1.68,2.04,1.81,1.51,1.19,1.4
2002,LIBERTY,,,,15.17,18.21,21.13,21.92,21.57,20.16,2.39,2.9,2.21,4.79,4.23,5.89,9.7,13.46,13.54,15.83,18.23,18.25,81.86,81.3,69.55,71.4,80.09,80.2,15.61,22.11,25.25,27.85,27.89,27.86,12.17,18.45,18.29,21.2,23.71,23.67,26.84,33.83,34.64,37.13,36.34,36.27,-4.37,10.48,10.85,19.87,22.72,20.74,2.17,1.84,2.11,1.55,1.3,1.28
2003,LIBERTY,,,,14.65,18.95,19.79,20.93,20.8,19.69,1.73,1.21,0.25,5.49,4.18,5.4,9.23,12.02,14.78,17.08,18.02,17.67,85.35,81.97,71.32,74.82,79.52,75.03,15.02,19.96,26.59,28.06,27.8,28.68,12.41,16.5,19.98,22.49,23.51,23.13,25.71,28.56,37.36,36.47,35.35,39.92,1.51,3.82,16.33,20.67,22.79,21.77,1.5,1.83,1.85,1.39,1.33,1.26
2004,LIBERTY,,,,15.74,18.72,20.49,18.71,23.25,22.22,1.78,4.14,5.78,9.84,2.71,2.06,10.65,11.81,14.94,18.28,18.34,16.68,83.85,82.6,82.37,85.08,80.72,74.18,17.82,19.68,23.66,26.69,27.75,27.65,14.79,16.35,20.21,23.74,23.77,21.89,25.91,27.98,35.5,34.13,35.08,36.96,6.33,6.55,10.38,21.0,21.97,16.58,1.73,1.84,1.94,1.37,1.14,1.36
2005,LIBERTY,,,,16.15,20.37,23.05,24.22,21.54,20.66,2.41,1.23,2.88,0.51,4.61,2.34,9.16,10.52,12.94,15.25,17.49,17.67,83.35,76.82,71.39,63.45,71.33,72.36,15.23,19.1,24.23,29.47,29.57,29.31,12.17,14.45,17.74,20.6,22.89,23.11,27.43,29.29,38.2,38.99,40.2,38.04,2.51,6.73,9.34,21.13,21.04,22.57,1.68,1.94,1.41,1.57,1.26,1.02
2006,LIBERTY,,,,15.1,20.25,21.58,23.93,19.82,22.17,1.57,2.62,3.76,4.74,7.81,2.55,10.0,12.36,13.8,15.47,18.46,18.37,75.31,73.05,72.39,72.4,83.32,79.88,18.23,23.01,24.93,27.05,27.28,27.97,13.09,17.07,18.65,20.85,23.91,23.76,29.17,34.72,34.56,37.08,35.2,35.9,1.44,10.08,12.32,18.65,22.81,18.51,2.04,1.86,1.78,1.25,1.22,1.08
2007,LIBERTY,,,,16.1,18.48,19.84,20.49,18.51,21.09,4.57,3.52,5.12,3.72,7.4,4.42,10.65,10.86,14.57,17.71,18.34,19.09,83.81,81.94,82.69,81.78,87.23,82.0,17.39,18.11,23.31,26.86,26.26,28.11,14.36,14.7,19.89,23.18,23.79,24.44,26.39,28.32,30.64,33.99,33.15,37.16,0.41,1.41,13.45,19.64,19.53,22.66,1.72,1.73,1.56,1.3,1.2,1.11
2008,LIBERTY,,,,16.77,19.89,20.91,22.74,23.38,18.97,1.86,1.45,2.8,2.76,2.63,6.38,9.41,10.97,13.97,16.23,16.18,17.87,79.78,72.53,71.82,68.44,68.97,77.92,16.05,20.45,25.25,28.97,28.86,28.03,12.23,14.58,18.91,21.73,21.66,23.3,27.31,30.7,35.58,37.22,37.64,38.32,-0.13,4.96,12.91,21.86,20.8,22.84,2.27,2.02,2.03,1.83,1.5,1.27
2009,LIBERTY,,,,15.19,19.7,21.14,25.35,20.9,20.49,3.56,9.1,1.31,0.99,3.03,2.66,9.3,10.83,14.54,15.41,16.92,17.24,77.7,76.41,77.71,64.78,66.58,71.07,16.48,19.2,24.46,29.24,30.35,29.31,11.96,14.34,19.71,20.81,22.38,22.71,28.2,29.51,34.2,41.11,39.83,38.22,-0.53,2.4,11.9,17.7,23.68,22.27,1.89,2.31,1.61,1.71,1.65,1.24
2010,LIBERTY,,,,18.26,20.15,22.73,21.86,20.99,21.52,1.68,0.73,2.57,3.61,7.08,1.86,7.6,10.87,14.26,17.54,18.83,17.61,80.09,76.02,69.92,73.76,81.42,69.92,13.15,20.06,26.39,28.92,28.05,29.94,9.47,14.99,19.28,22.97,24.21,22.98,24.62,30.93,37.36,38.66,36.16,39.07,0.13,6.5,14.46,21.7,22.57,20.99,1.75,1.92,1.78,1.47,1.33,1.24
2011,LIBERTY,,,,16.8,20.79,23.89,24.9,21.76,23.82,1.25,0.44,0.77,1.52,2.83,0.61,9.77,11.61,12.55,15.12,16.52,15.89,76.4,66.03,62.85,59.9,64.95,57.93,18.0,23.41,25.68,30.38,30.29,32.02,13.12,15.04,16.74,20.42,21.93,21.25,30.62,33.31,37.13,40.75,39.7,42.03,2.99,6.69,9.45,22.33,24.23,23.72,1.83,2.51,2.51,1.93,1.46,1.5
2012,LIBERTY,,,,14.53,20.67,22.5,23.58,20.18,21.57,4.54,2.06,2.57,2.82,6.49,2.7,11.86,12.7,14.33,15.94,17.8,17.25,85.03,80.53,73.81,69.72,79.49,72.02,19.2,21.42,25.38,28.45,27.62,29.04,16.37,17.57,19.67,21.33,23.28,22.71,27.92,29.16,35.82,40.76,36.16,37.8,6.03,9.42,15.97,20.27,22.81,22.0,1.8,1.85,1.58,1.44,1.23,1.48
2013,LIBERTY,,,,19.0,18.63,21.43,24.68,21.71,22.01,0.96,3.59,2.87,2.74,2.79,2.17,7.81,10.72,13.14,15.84,15.79,16.56,70.22,77.31,73.74,68.06,66.78,68.68,15.32,18.97,23.28,28.77,29.02,29.41,9.02,14.37,17.61,21.25,21.17,22.03,30.68,29.2,34.43,41.11,39.11,39.79,0.95,4.62,6.87,18.42,20.34,20.64,1.94,2.05,2.05,1.47,1.52,1.41
2014,LIBERTY,,,,14.92,19.54,21.21,20.76,22.7,20.59,2.3,0.98,6.36,3.59,3.47,2.55,8.47,10.6,12.62,17.07,17.14,17.39,82.39,73.78,72.41,76.82,73.34,73.32,13.92,19.85,23.32,27.52,28.66,28.85,10.69,14.2,17.12,22.57,22.64,22.84,26.89,34.4,32.57,35.19,38.06,37.62,-3.54,4.85,10.19,20.42,22.08,20.98,1.83,2.07,2.05,1.81,1.15,1.37
2015,LIBERTY,,,,13.5,16.11,17.37,21.81,25.3,21.83,6.22,6.6,9.77,6.15,0.78,3.53,10.08,13.85,16.35,17.88,18.28,16.85,85.85,86.9,87.02,83.1,77.84,70.8,16.17,21.38,24.26,26.71,28.56,29.14,13.6,18.92,21.78,23.32,23.69,22.18,26.48,29.69,30.33,33.01,38.61,41.29,-2.71,10.18,12.7,18.06,20.69,19.29,1.48,1.56,1.77,1.38,1.36,1.21
2016,LIBERTY,,,,16.05,17.81,18.99,21.42,23.89,18.52,5.08,8.42,7.72,6.78,2.94,7.49,11.1,12.43,15.31,18.25,18.67,18.67,83.39,80.02,84.49,83.4,78.08,81.39,18.17,20.97,23.61,27.02,28.73,28.02,15.06,16.88,20.59,23.68,24.07,24.07,28.88,29.59,31.57,34.1,36.9,37.31,2.03,8.68,11.75,20.58,23.75,23.04,1.96,1.78,1.63,1.22,1.43,1.19
2017,LIBERTY,,,,16.05,19.21,21.83,20.66,23.02,16.85,4.13,3.03,4.41,5.86,3.85,28.7,11.2,12.37,13.31,17.35,17.96,18.54,82.2,78.57,72.8,80.38,76.51,80.9,18.69,21.19,24.0,26.84,28.51,27.95,15.33,16.85,18.03,22.78,23.44,23.9,28.39,31.61,32.77,35.79,37.44,36.88,4.28,7.92,11.25,18.73,20.44,20.17,1.98,2.02,1.94,1.68,1.15,1.75
2018,LIBERTY,,,,17.81,20.46,23.75,24.06,23.39,21.54,3.08,2.09,1.74,4.07,4.41,2.0,10.37,10.0,14.22,17.22,16.76,17.09,80.0,75.05,69.2,72.67,71.47,70.93,17.8,18.65,26.71,28.9,28.96,29.28,13.91,13.49,19.43,22.66,22.2,22.55,27.53,29.84,36.92,38.01,39.83,38.54,5.0,5.53,15.44,22.99,21.67,20.6,1.89,1.94,1.63,1.81,1.23,1.37
2019,LIBERTY,,,,14.59,18.08,20.31,21.78,22.55,21.83,0.57,2.45,6.19,6.82,1.66,1.85,9.14,11.55,15.89,17.29,17.44,17.86,79.89,79.22,81.26,76.57,73.3,69.47,15.49,19.96,25.08,27.78,28.86,30.44,11.69,15.74,21.28,22.66,22.8,23.24,27.23,30.24,34.66,37.62,37.22,40.45,-3.05,3.02,14.44,19.68,19.05,24.0,1.83,2.1,2.06,1.47,1.51,1.28
2020,LIBERTY,,,,13.08,18.48,21.86,22.16,21.64,22.47,1.24,2.8,4.11,4.56,3.42,1.55,12.29,11.63,14.05,16.02,18.27,16.93,82.41,74.36,74.83,72.98,76.76,68.61,20.38,21.4,24.6,27.55,28.81,29.7,16.91,15.76,19.08,21.28,23.66,22.3,30.98,33.19,34.93,36.64,38.38,39.03,6.25,8.53,12.95,17.76,23.06,20.66,1.93,1.86,1.76,1.68,1.6,1.41
2021,LIBERTY,,,,15.39,17.67,18.12,21.81,20.88,21.12,1.25,3.05,8.17,4.95,4.98,2.32,9.71,10.92,15.19,18.22,18.42,18.1,78.7,72.79,83.11,81.99,81.9,75.93,17.1,20.47,23.97,27.29,27.56,28.81,12.85,14.39,20.54,23.63,23.86,23.51,28.88,31.82,32.15,34.98,34.98,37.78,3.1,6.75,14.87,20.19,22.17,22.7,1.94,2.04,1.95,1.41,1.15,1.22
2022,LIBERTY,,,,18.3,19.52,23.15,24.41,23.63,19.74,2.76,1.47,2.86,0.97,1.99,5.15,8.26,11.71,15.14,15.72,17.29,18.32,72.46,70.73,71.55,62.48,66.29,75.06,15.97,22.28,27.06,30.38,30.79,29.29,10.14,15.66,20.44,21.08,22.7,23.7,28.52,32.77,37.34,40.56,39.77,39.04,-0.52,7.72,16.23,21.28,24.1,23.81,2.08,2.26,2.02,1.59,1.66,1.38
2023,LIBERTY,,,,14.68,16.53,20.02,24.02,24.36,24.59,1.35,4.79,4.49,2.02,1.34,0.2,10.95,11.39,15.13,17.51,17.02,15.53,78.96,79.64,80.32,72.97,63.44,53.26,18.54,19.84,24.6,29.1,31.63,33.23,14.43,15.71,20.53,22.85,22.36,20.63,28.85,31.54,32.41,39.81,42.47,44.4,1.63,8.91,13.28,20.51,23.79,22.84,2.04,1.83,1.29,1.46,1.55,1.71
2024,LIBERTY,,,,14.59,18.05,16.76,24.26,18.87,21.97,2.8,5.49,10.29,3.14,9.82,1.68,10.79,13.12,17.72,18.57,18.71,18.45,83.43,80.57,86.52,78.47,80.46,75.27,17.89,21.71,25.7,28.51,28.27,29.39,14.76,17.83,23.08,23.9,24.09,23.83,28.11,30.99,35.72,38.03,38.4,38.77,5.92,8.94,19.03,22.06,22.98,23.25,1.65,2.07,1.71,1.5,1.19,1.11
2025,LIBERTY,,,,17.69,18.47,19.87,22.16,21.95,20.86,2.09,2.77,5.1,5.69,2.57,3.56,10.21,13.23,15.4,18.61,17.67,17.44,77.3,78.11,78.35,81.07,73.87,70.62,18.24,22.5,25.23,27.99,29.08,29.74,13.54,17.88,20.63,24.01,23.09,22.87,30.78,30.7,35.55,36.12,39.33,38.97,4.49,6.07,12.84,21.35,21.87,22.86,1.96,2.24,1.82,1.49,1.29,1.07
2000,COCHRAN,,,,19.38,23.75,28.72,23.75,26.76,25.66,1.32,0.47,0.3,4.38,0.96,0.29,3.93,4.17,5.44,11.25,9.79,8.83,44.34,34.49,29.14,57.06,38.52,35.52,11.72,17.03,24.3,24.12,28.41,27.93,-2.37,-1.27,1.71,13.54,11.48,10.01,26.57,33.84,41.59,39.17,40.92,38.07,-3.36,0.68,7.71,13.86,17.84,18.53,4.24,4.21,4.22,3.67,3.36,3.41
2001,COCHRAN,,,,16.97,24.5,26.42,29.94,28.37,23.33,1.83,0.13,1.92,0.45,0.55,1.68,4.31,4.38,7.04,8.01,9.64,10.92,56.96,34.79,42.16,34.2,34.88,48.29,9.11,17.33,21.81,27.38,29.84,26.6,-0.48,-0.7,5.88,7.82,11.3,13.18,26.94,32.49,36.24,40.36,39.98,37.54,-3.9,2.63,5.84,11.98,18.09,16.53,3.31,4.42,3.45,3.78,3.57,2.64
2002,COCHRAN,,,,20.15,22.08,26.92,27.41,26.42,24.76,2.4,0.73,0.12,1.31,1.34,2.32,2.87,5.09,5.85,10.05,11.55,11.03,36.7,40.52,34.9,42.92,50.31,45.17,9.63,17.7,22.18,27.27,26.76,27.59,-6.76,0.98,2.44,11.74,14.08,13.29,29.41,33.93,37.0,39.39,39.21,40.15,-9.71,-1.44,7.53,14.67,17.64,17.82,4.19,4.06,4.16,4.16,3.06,3.35
